barley,NC38N,N385,N,Y," ",INA/CNV,,AA,16
wheat,GA1N,N246,N,Y," ",INA,,AA,30
wheat,GA2N,N247,N,Y,,INA,,AA,31
wheat,GA11N,N258A,N,Y," ",INA,,AA,33
wheat,GA17N,N264,N,Y," ",INA,,AA,34
wheat,GA24N,N269,N,Y," ",INA,,AA,35
wheat,GA25N,N269A,N,Y," ",INA,,AA,36
wheat,GA25N,N269A,N,Y," ",INA,,AA,36
wheat,GA35N,N273A,N,Y," ",INA,,AA,38
wheat,GA36N,N274A,N,Y," ",INA,,AA,39
job,GA37N,2N274,N,Y," ",INA,,AA,40
