Charlotte,SC42N,N243,N,Y," ",INA/CNV," ",AA,28
Raleigh,GA1N,N246,N,Y," ",INA," ",AA,30
Nashville,GA11N,N258A,N,Y,Tennessee,INA," ",AA,33
Macon,GA24N,N269,N,Y," ",SUG/INA," ",AA,35
Nashville,GA24N,N269,N,Y," ",SUG/INA," ",AA,35
Nashville,GA24N,N269,N,Y," ",SUG/INA," ",AA,35
Nashville,GA37N,2N274,N,Y," ",INA," ",AA,40
Knoxville,GA37N,2N274,N,Y," ",INA," ",AA,40
Chattanooga,GA37N,2N274,N,Y," ",INA," ",AA,40
Memphis,GA37N,2N274,N,Y," ",INA," ",AA,40
