"either one",SC18N,N219,O,Y," ",INA," ",AA,23
chuck,SC11NA," ",V,Y,,INA," ",AA,42
chunk,SC11NB," ",V,Y,,INA," ",AA,43
chunk,SC12NC," ",V,Y," ",INA," ",AA,47
fling,SC12NC," ",V,Y,"this word is also common for \"throw\" and \"threw\"",INA," ",AA,47
"he fling",SC13NC," ",E,Y," ",INA,,AA,50
chunk,SC18NA," ",V,Y,"used less frequently",INA," ",AA,51
fling,SC18NC," ",V,Y,common,INA," ",AA,53
chunk,SC18NC," ",V,Y,common,INA," ",AA,53
