batter cake,GA47GB,,O,N,,,,AA,58
biscuit,GA47GC,,N,N,,,,AA,59
roll,GA47GC,,N,N,,,,AA,59
sweetened bread,GA47GC,,O,N,,,,AA,59
biscuit,GA48GA,,N,N,,,,AA,60
waffle,GA48GA,,N,N,,,,AA,60
roll,GA48GA,,N,N,,,,AA,60
batter cake,GA48GA,,O,N,,,,AA,60
light bread,GA48GB,,O,N,,,,AA,61
roll,GA48GB,,N,N,,,,AA,61
cake,GA48GB,,N,N,,,,AA,61
biscuit,GA48GC,,N,N,,,,AA,62
cake,GA48GC,,N,N,,,,AA,62
roll,GA48GC,,N,N,,,,AA,62
pies,GA48GC,,N,N,,,,AA,62
slapjack,GA48GC,,N,N,,,,AA,62
batter cake,GA48GC,,O,N,,,,AA,62
