NR,MD9N,N46, ,N, , , ,AA,1
walnut,MD22N,N77,N,N, , , ,AA,2
walnut,MD22M,N78,N,N, , , ,AA,3
shell,MD22M,N78,N,N, , , ,AA,3
walnut,VA4N,N109,N,N, , , ,AA,4
walnut,VA12N,N131,N,N, , , ,AA,5
NR,VA15N,N139(*), ,N, , , ,AA,6
walnut,VA21N,N153,N,N, , , ,AA,7
walnut,VA43N,N195,N,N, , , ,AA,8
NR,VA46N,N207, ,N, , , ,AA,9
walnut,VA59N,N241,N,N, , , ,AA,10
walnut,VA59N,N241,N,N, , , ,AA,10
walnut,VA59N,N241,N,Y, ,OLD, ,AA,10
walnut,VA59N,N241,N,N, , , ,AA,10
walnut,NC8N,N317,N,N, , , ,AA,11
walnuts,NC14N,N331,N,N, , , ,AA,12
walnut,NC14N,N331,N,N,singular, , ,AA,12
walnut,NC24N,N352,N,N, , , ,AA,13
walnuts,NC25N,N353,N,N, , , ,AA,14
walnut,NC36N,N381,N,N, , , ,AA,15
walnut,NC38N,N385,N,N,, , ,AA,16
walnut,NC52N,N429,N,N, , , ,AA,17
pecans,SC6N,N208,N,N, , , ,AA,18
shell,SC6N,N208,N,N,inside, , ,AA,18
pecan,SC7N,N209,N,N , , , ,AA,19
pecan nuts,SC7N,N209,O,N , , , ,AA,19
walnuts,SC7N,N209,N,N , , , ,AA,19
walnut,SC11N,N213,N,N, , , ,AA,20
walnut shell,SC11N,N213,O,N, , , ,AA,20
pecan nut,SC11N,N213,O,N,=pecan, , ,AA,20
walnuts,SC11M!,2n213!,N,N, , , ,AA,21
almonds,SC11M!,2n213!,N,N, , , ,AA,21
butternuts,SC11M!,2n213!,N,N, , , ,AA,21
chestnuts,SC11M!,2n213!,N,N, , , ,AA,21
pecan,SC11M!,2n213!,N,N, , , ,AA,21
pecan nuts,SC11M!,2n213!,O,N, , , ,AA,21
hickory nuts,SC11M!,2n213!,O,N, , , ,AA,21
shell,SC11M!,2n213!,N,N,soft, , ,AA,21
butternut,SC16N,N217,N,N, , , ,AA,22
pecan,SC16N,N217,N,N, , , ,AA,22
walnut hull,SC16N,N217,O,N, , , ,AA,22
skin hull,SC16N,N217,O,N, , , ,AA,22
walnut hull,SC18N,N219,O,N, , , ,AA,23
NR,SC19N,N220, ,N, , , ,AA,24
NR,SC22N,N223, ,N, , , ,AA,25
walnut,SC24N,N225,N,N, ,CNV, ,AA,26
walnut hull,SC24N,N225,O,N, , , ,AA,26
pecans,SC38N,N239,N,N, , , ,AA,27
pecans,SC38N,N239,N,N, , , ,AA,27
scaly bark,SC38N,N239,O,N, , , ,AA,27
hickory nuts,SC38N,N239,O,N, , , ,AA,27
walnuts,SC38N,N239,N,N, , , ,AA,27
walnut hull,SC38N,N239,O,N, , , ,AA,27
walnuts,SC42N,N243,N,N, , , ,AA,28
walnuts,SC42N,N243,N,N, , , ,AA,28
NR,SC42M,N243X, , , , , ,AA,29
walnut,GA1N,N246,N,N, , , ,AA,30
pecan,GA1N,N246,N,N, , , ,AA,30
shell,GA1N,N246,N,N,hard, , ,AA,30
walnut trees,GA2N,N247,O,N,most have died out,SIC, ,AA,31
hickory nut tree,GA2N,N247,O,N, , , ,AA,31
hickory nut tree,GA2N,N247,O,N, , , ,AA,31
walnuts,GA2N,N247,N,N, , , ,AA,31
hull,GA2N,N247,N,N, , , ,AA,31
soft hull,GA2N,N247,O,N, , , ,AA,31
walnut hull,GA4N,N249,O,N, , , ,AA,32
walnut,GA11N,N258A,N,N, , , ,AA,33
hickory nut,GA11N,N258A,O,N, , , ,AA,33
hull,GA11N,N258A,N,N, , , ,AA,33
hull,GA11N,N258A,N,N, , , ,AA,33
hull,GA11N,N258A,N,N, , , ,AA,33
hull ***,GA11N,N258A,O,Y,eggs,CNV/DDT, ,AA,33
walnut,GA17N,N264,N,N, , , ,AA,34
walnuts,GA17N,N264,N,N, , , ,AA,34
hull,GA17N,N264,N,N, , , ,AA,34
green cover hull,GA17N,N264,O,N, , , ,AA,34
green cover ,GA17N,N264,O,N, , , ,AA,34
walnuts,GA24N,N269,N,N, , , ,AA,35
england nuts,GA24N,N269,O,N, , , ,AA,35
pecans,GA24N,N269,N,N, , , ,AA,35
niggertoe,GA24N,N269,N,N,brazil nuts, , ,AA,35
walnut,GA25N,N269A,N,N, , , ,AA,36
hull,GA25N,N269A,N,N,hard, , ,AA,36
hull,GA25N,N269A,N,N,soft, , ,AA,36
walnut hull,GA34N,N273,O,N, , , ,AA,37
chinquapins,GA34N,N273,N,N, , , ,AA,37
chestnuts,GA34N,N273,N,N, , , ,AA,37
walnuts,GA34N,N273,N,N, , , ,AA,37
walnuts,GA34N,N273,N,N, ,SIC, ,AA,37
hickory nuts,GA34N,N273,O,N, , , ,AA,37
scalies,GA34N,N273,N,N, , , ,AA,37
scaly barks,GA34N,N273,O,N, , , ,AA,37
walnuts,GA35N,N273A,N,N, , , ,AA,38
hickory nuts,GA35N,N273A,O,N, , , ,AA,38
pecan,GA35N,N273A,N,N, , , ,AA,38
walnut,GA36N,N274A,N,N, , , ,AA,39
walnut,GA36N,N274A,N,N, , , ,AA,39
hull,GA36N,N274A,N,N, , , ,AA,39
walnut,GA37N,2N274,N,N, , , ,AA,40
english walnut,GA37N,2N274,O,N, , , ,AA,40
black walnut,GA37N,2N274,O,N, , , ,AA,40
shell,GA37N,2N274,N,N, , , ,AA,40
walnut,GA37M!,NC274,N,N, , , ,AA,41
walnut,GA37M!,NC274,N,N, , , ,AA,41
walnut,GA37M!,NC274,N,N, ,CNV, ,AA,41
pecan,GA37M!,NC274,N,N, , , ,AA,41
this kind of apple,SC45GA, ,O,N, , , ,AA,42
this kind of apple,SC45GB, ,O,N, , , ,AA,43
them kind,SC45GC, ,O,N, , , ,AA,44
these kind,SC45GC, ,O,N, , , ,AA,44
this kind of apple is,SC46GA, ,E,N,singular or plural, , ,AA,45
this kind of apple,SC46GB, ,O,N, , , ,AA,46
this kind of apple,SC46GC, ,O,N, , , ,AA,47
this kind of apple,SC47GA, ,O,N, , , ,AA,48
this kind of apple,SC47GB, ,O,N, , , ,AA,49
these kind of apple,SC47GB, ,O,N, , , ,AA,49
this kind of apple,SC47GC, ,O,N, , , ,AA,50
this kind of apple is late,SC48GA, ,S,N, , , ,AA,51
this kind of apple,SC48GB, ,O,N, , , ,AA,52
NR,SC48GC, , ,N, , , ,AA,53
this kind of apple is,GA45GA, ,S,N, , , ,AA,54
them kind,GA45GB, ,O,N, , , ,AA,55
them kind of apple is,GA45GC, ,S,N, , , ,AA,56
these kind is late,GA47GA, ,S,N, , , ,AA,57
these kind of apple is,GA47GB, ,S,N, , , ,AA,58
this kind of apple,GA47GC, ,O,N, , , ,AA,59
them kind of apple,GA48GA, ,O,N, , , ,AA,60
them kind of apple is,GA48GB, ,S,N, , , ,AA,61
them kind of apple is late,GA48GC, ,S,N, , , ,AA,62
