boyfriend,GA11N,N258A,N,N, , , ,AA,33
boyfriend,GA17N,N264,N,N, , , ,AA,34
boyfriend,GA17N,N264,N,N, , , ,AA,34
NR,GA24N,N269, ,N, , , ,AA,35
fellow,GA25N,N269A,N,N, , , ,AA,36
NR,GA34N,N273, ,N, , , ,AA,37
boyfriend,GA35N,N273A,N,N, , , ,AA,38
sweetheart,GA35N,N273A,N,N, , , ,AA,38
friend,GA36N,N274A,N,N, , , ,AA,39
beau,GA36N,N274A,N,N, , , ,AA,39
NR,GA37N,2N274, ,N, , , ,AA,40
boyfriend,GA37M!,NC274,N,N, , , ,AA,41
boyfriend,GA37M!,NC274,N,N, , , ,AA,41
your fellow,SC45GA, ,O,N, , , ,AA,42
your boy,SC45GA, ,O,N, , , ,AA,42
her friend,SC45GB, ,O,N, , , ,AA,43
she fellow,SC45GC, ,O,N,"""Her"" is seldom heard on the islands; the same is true of ""us.""  ""She"" and ""we"" are used instead.", , ,AA,44
friend,SC46GA, ,N,N,normal, , ,AA,45
fellow,SC46GA, ,N,N,jocular, , ,AA,45
boyfriend,SC46GB, ,N,N, , , ,AA,46
fellow,SC46GB, ,N,N, , , ,AA,46
her courter,SC46GC, ,O,N,normal, , ,AA,47
her fellow,SC46GC, ,O,N,jocular, , ,AA,47
me friend,SC47GA, ,O,N, , , ,AA,48
her friend,SC47GB, ,O,N, , , ,AA,49
fellow,SC47GB, ,N,N, , , ,AA,49
her friend,SC47GC, ,O,N, , , ,AA,50
courter,SC47GC, ,N,N, , , ,AA,50
lover,SC47GC, ,N,N, , , ,AA,50
boyfriend,SC48GA, ,N,N, , , ,AA,51
fellow,SC48GA, ,N,N, , , ,AA,51
friend,SC48GB, ,N,N, , , ,AA,52
fellow,SC48GB, ,N,N, , , ,AA,52
her intendent,SC48GC, ,O,N, , , ,AA,53
boyfriend,SC48GC, ,N,N, , , ,AA,53
fellow,GA45GA, ,N,N, , , ,AA,54
her fellow,GA45GB, ,O,N, , , ,AA,55
fellow,GA45GC, ,N,N, , , ,AA,56
boyfriend,GA45GC, ,N,N, , , ,AA,56
fellow,GA47GA, ,N,N, , , ,AA,57
her fellow,GA47GB, ,O,N, , , ,AA,58
sweetheart,GA47GB, ,N,Y, ,REP, ,AA,58
her fellow,GA47GC, ,O,N, , , ,AA,59
fellow,GA48GA, ,N,N, , , ,AA,60
intended,GA48GA, ,N,Y, ,REP, ,AA,60
her fellow,GA48GB, ,O,N, , , ,AA,61
fellow,GA48GC, ,N,N, , , ,AA,62
boyfriend,GA48GC, ,N,Y, ,REP, ,AA,62
