bureau,GA4NB,,N,N,"4 drawers and mirror",,,AA,58
dresser,GA4NB,,N,Y,,SUG,,AA,58
wardroom,GA4NC,,N,N,"4 drawers, built straight no mirror",,,AA,59
bureau,GA4NC,,N,N,,,,AA,59
dresser,GA4NC,,N,Y,"has mirror extending to floor",INA,,AA,59
drawer,GA5NA,,N,N,,,,AA,60
"wash hand stand",GA5NA,,O,Y,,REP,,AA,60
bureau,GA5NA,,N,N,,,,AA,60
drawer,GA5NB,,N,N,"no mirror, 3 or 4 drawers",,,AA,61
bureau,GA5NB,,N,N,,,,AA,61
bureau,GA5NC,,N,N,"looking glass and 3 drawers",,,AA,62
