"firkins","NY26B","468"," ","N","Y"," ","MS","jug:vinegar,",72
"drums","NY26C","469"," ","N","Y"," ","MS"," ",73
"tub","NY26C","469"," ","N","Y"," ","MS"," ",73
"kegs","NY26C","469"," ","N","Y"," ","MS","kegs, drums:",73
"tubs","NY26C","469"," ","N","Y"," ","MS","kegs,drums:",73
"jug","NY27A","470"," ","N"," "," ","MS"," ",74
"jar","NY27A","470"," ","N","Y"," ","MS","jar: lard",74
"can","NY27B","471"," ","N","Y"," ","MS"," ",75
"pans","NY27B","471"," ","N","Y"," ","MS","can: syrup;",75
"can of syrup","NY27C","472"," ","N"," "," ","MS"," ",76
"cans","NY28A","473a"," ","N","Y"," ","MS","fruit jars:",77
"fruit jars","NY28A","473a"," ","N","Y"," ","MS"," ",77
"can","NY28B","473b(*)"," ","N","Y"," ","MS"," ",78
"kegs","NY28B","473b(*)"," ","N","Y"," ","MS","can: syrup;",78
" ","NY28C"," "," "," "," "," "," "," ",79
"tin cans","NY29A","474a"," ","N","Y"," ","MS"," ",80
"barrel","NY29A","474a"," ","N","Y"," ","MS"," ",80
"crock","NY29A","474a"," ","N","Y"," ","MS","barrel, tin",80
"cans","NY29B","474b"," ","N","Y"," ","MS","cans: syrup;",81
"barrel","NY29B","474b"," ","N","Y"," ","MS"," ",81
"earthen jars","NY29B","474b"," ","N","Y"," ","MS","cans: syrup?",81
"jug","NY29C","474c"," ","N","Y"," ","MS"," ",82
"stone jar","NY29C","474c"," ","N","Y"," ","MS","cans: syrup?",82
"cans","NY29C","474c"," ","N","Y"," ","MS"," ",82
"tubs","NY30A","475a"," ","N","Y"," ","MS"," ",83
"tin can","NY30A","475a"," ","N","Y"," ","MS"," ",83
"jugs","NY30A","475a"," ","N","Y"," ","MS","tin can, tub",83
"butter tubs","NY30B","475b"," ","N"," "," ","MS"," ",84
"pail","NY30B","475b"," ","N","Y"," ","MS"," ",84
"tubs","NY30B","475b"," ","N","Y"," ","MS"," ",84
"can","NY30B","475b"," ","N","Y"," ","MS"," ",84
"syrup cans","NY30B","475b"," ","N","Y"," ","MS","can, pail, t",84
"butter tubs","NY30C","475c"," ","N","Y"," ","MS","butter tubs:",85
"barrels","NY30C","475c"," ","N","Y"," ","MS","butter tubs:",85
"sugar barrel","NY30C","475c"," ","N"," "," ","MS"," ",85
"bottles","NY30D","475d"," ","N"," "," ","MS"," ",86
"jugs","NY30D","475d"," ","N","Y"," ","MS","jars: lard;",86
"jars","NY30D","475d"," ","N","Y"," ","MS","jars: lard",86
"tin can","NY30E","475e"," ","N","Y"," ","MS"," ",87
"sap buckets","NY30E","475e"," ","N","Y"," ","MS","jug, tin can",87
"jug","NY30E","475e"," ","N","Y"," ","MS","jug, tin can",87
"jar","NY30E","475e"," ","N","Y"," ","MS"," ",87
"milk pan","NY31A","478a"," ","N","Y"," ","MS","hh: older; h",88
"hogsheads","NY31A","478a"," ","N"," "," ","MS"," ",88
"milk pan","NY31A","478a"," "," ","Y"," ","MS"," ",88
"barrel","NY31A","478a"," ","N"," "," ","MS"," ",88
"barrel","NY31A","478a"," ","N","Y"," ","MS","hh: older; h",88
"barrel","NY31B","478b"," ","N"," "," ","MS"," ",89
"milk pans","NY31B","478b"," ","N","Y"," ","MS","barrel: mola",89
"pans","NY31B","478b"," ","N"," "," ","MS"," ",89
"barrels","NY32A","479a"," ","N"," "," ","MS"," ",90
"jug","NY32A","479a"," ","N"," "," ","MS"," ",90
"cans","NY32A","479a"," ","N"," "," ","MS"," ",90
"tubs","NY32A","479a"," ","N","Y"," ","MS","cans: syrup;",90
"jars","NY32B","479b"," ","N"," "," ","MS"," ",91
"jug","NY32B","479b"," ","N"," "," ","MS"," ",91
"glass cans","NY32B","479b"," "," ","Y"," ","MS","jars: lard;",91
"pail","NY33A","480"," "," ","Y"," ","MS"," ",92
"can","NY33A","480"," ","N","Y"," ","MS","can: syrup;",92
"NO RESPONSE","NY33B","481"," ","N"," "," ","MS"," ",93
"ERROR","NY33C","482"," "," "," "," ","MS"," ",94
"half barrels","NY33C","482"," ","N","Y"," ","MS","half barrels",94
"pails","NY33C","482"," "," "," "," ","MS"," ",94
"jugs","NY34A","483"," ","N","Y"," ","MS","jg: molasses",95
"crocks","NY34A","483"," ","N","Y"," ","MS"," ",95
"jars","NY34A","483"," ","N","Y"," ","MS","jg:molasses;",95
"jars","NY34B","484"," ","N"," "," ","MS"," ",96
"barrels","NY34B","484"," ","N"," "," ","MS"," ",96
"lard tubs","NY34B","484"," ","N"," "," ","MS"," ",96
"hogsheads","NY34B","484"," ","N"," "," ","MS"," ",96
"cans","NY34B","484"," ","N"," "," ","MS"," ",96
"tubs","NY34B","484"," ","N"," "," ","MS"," ",96
"crocks","NY34B","484"," ","N","Y"," ","MS","barrels: mol",96
"tins","NY34B","484"," ","N"," "," ","MS"," ",96
"jugs","NY34B","484"," ","N","Y"," ","MS","barrels: mol",96
"stone jar","NY34C","485"," ","N"," "," ","MS"," ",97
"churn","NY34C","485"," ","N","Y"," ","MS","stone jug, c",97
"syrup jug","NY34C","485"," ","N"," "," ","MS"," ",97
"molasses jug","NY34C","485"," ","N","Y"," ","MS"," ",97
"syrup crock","NY34C","485"," ","N"," "," ","MS"," ",97
"bottle","NY34D!","486!"," ","N"," "," ","MS"," ",98
"ERROR","NY34D!","486!"," "," "," "," ","MS"," ",98
"bottle","NY34D!","486!"," ","N"," "," ","MS"," ",98
"firkin","NY34D!","486!"," ","N"," "," ","MS"," ",98
"firkin","NY34D!","486!"," ","N"," "," ","MS"," ",98
"jug","NY34D!","486!"," ","N","Y"," ","MS"," ",98
"pitcher","NY35A","487"," ","N"," "," ","MS"," ",99
"pitcher","NY35B","488"," ","N"," "," ","MS"," ",100
"jug","NY35C!","489!"," ","N"," "," ","MS"," ",101
"pitcher","NY36A","491"," ","N"," "," ","MS"," ",102
"pitcher","NY36B","492"," ","N"," "," ","MS"," ",103
"pitcher","NY37A","493"," ","N"," "," ","MS"," ",104
"pitcher","NY37B","494"," ","N"," "," ","MS"," ",105
"pitcher","NY37C!","495!"," ","N"," "," ","MS"," ",106
"pitcher","NY38A","497(*)"," ","N"," "," ","MS"," ",107
"pitcher","NY38B","498"," ","N"," "," ","MS"," ",108
" ","NY38C"," "," "," "," "," "," "," ",109
"mug","NY39A","499"," ","N"," "," ","MS"," ",110
"pitcher","NY39A","499"," ","N"," "," ","MS"," ",110
"pitcher","NY39B","500"," ","N"," "," ","MS"," ",111
