"stone","NY32B","479b","N","N","throwing size"," "," ","MS",91," ","1"
"threw a stone","NY33A","480","E","N"," "," "," ","MS",92," ","1"
"threw a stone at him","NY33B","481","E","N"," "," "," ","MS",93," ","1"
"threw a stone","NY33C","482","E","N"," "," "," ","MS",94," ","1"
"threw at him","NY34A","483","E","N"," "," "," ","MS",95," ","1"
"rock","NY34B","484","N","N"," ","CNV"," ","MS",96," ","1"
"slung a stone","NY34C","485","E","N"," "," "," ","MS",97," ","1"
"threw","NY34D!","486!","V","N"," "," "," ","MS",98," ","1"
"threw a stone","NY35A","487","E","N"," "," "," ","MS",99," ","1"
"threw a stone","NY35B","488","E","N"," "," "," ","MS",100," ","1"
"threw a rock","NY35C!","489!","E","N"," "," "," ","MS",101," ","1"
"throwed a stone","NY36A","491","E","N"," "," "," ","MS",102," ","1"
"threw a stone","NY36B","492","E","N"," "," "," ","MS",103," ","1"
"threw a stone","NY37A","493","E","N"," "," "," ","MS",104," ","1"
"threw a stone","NY37B","494","E","N"," "," "," ","MS",105," ","1"
"threw a rock","NY37C!","495!","E","N"," "," "," ","MS",106," ","1"
"throwed a stone","NY38A","497(*)","E","N"," "," "," ","MS",107," ","1"
"threw a stone","NY38B","498","E","N"," "," "," ","MS",108," ","1"
"threw a stone","NY38C","497X","E","N"," "," "," "," ",109," ","1"
"throwed a stone","NY39A","499","E","N"," "," "," ","MS",110," ","1"
"throwed a stone","NY39B","500","E","N"," "," "," ","MS",111," ","1"
"threw a stone","NY40A","501","E","N"," "," "," ","MS",112," ","1"
"threw a rock","NY40B","502","E","N"," "," "," ","MS",113," ","1"
"threw a stone","NY41","504","E","N"," "," "," ","MS",114," ","1"
"throwed a rock","NY42A","505","E","N"," "," "," ","MS",115," ","1"
"threw stone","NY42B","506","E","N"," "," "," ","MS",116," ","1"
"throwed a stone","NY43A","507","E","N"," "," "," ","MS",117," ","1"
"threw a stone","NY43B","507b","E","N"," "," "," ","MS",118," ","1"
"threw a stone","NY43C!","508!","E","N"," "," "," ","MS",119," ","1"
"threw a stone","NY44A","511","E","N"," "," "," ","MS",120," ","1"
"threw a stone","NY44B","512","E","N"," "," "," ","MS",121," ","1"
"heaved a rock","NY45A","513a","E","N"," "," "," ","MS",122," ","1"
"throwed a stone","NY45B","513b","E","N"," "," "," ","MS",123," ","1"
"give him a stone","NY45C","513c","E","N"," "," "," ","MS",124," ","1"
"threw a stone","NY45D!","513d!","E","N"," "," "," ","MS",125," ","1"
"throwed","NY46A","515a","V","N"," "," "," ","MS",126," ","1"
"stone","NY46B","515b","N","N"," "," "," ","MS",127," ","1"
"threw","NY46C","515c","V","N"," "," "," ","MS",128," ","1"
"throwed","NY47A","517(*)","V","N"," "," "," ","MS",129," ","1"
"threw a rock","NY47B","518","E","N"," "," "," ","MS",130," ","1"
"throwed","NY48A","519a","V","N"," "," "," ","MS",131," ","1"
"stone","NY48B","519b","N","N"," ","CNV"," ","MS",132," ","1"
"threw a stone","NY48C","519c","E","N"," "," "," ","MS",133," ","1"
"threw","NY48D","519d","V","N"," ","CNV"," ","MS",134," ","1"
"stone","NY49A","520","N","N"," ","CNV"," ","MS",135," ","1"
"threw a rock","NY49B","521","E","N"," "," "," ","MS",136," ","1"
"stone","NY49C","522a","N","N"," "," "," ","MS",137," ","1"
"stone","NY49D","522b","N","N"," "," "," ","MS",138," ","1"
"threw a stick","NY50A","523","E","N"," "," "," ","MS",139," ","1"
"threw a stone","NY50B","524","E","N"," "," "," ","MS",140," ","1"
"threw a club","NY51A","525a","E","N"," "," "," ","MS",141," ","1"
"threw","NY51B","525b","V","N"," "," "," ","MS",142," ","1"
"throwed it","NY51C","525c","E","N"," "," "," ","MS",143," ","1"
"threw","NY51D","525d","V","N"," ","CNV"," ","MS",144," ","1"
"stone","NY51E!","525e!","N","N"," ","CNV"," ","MS",145," ","1"
"throwed a stone","NY52A","527","E","N"," "," "," ","MS",146," ","1"
"NR","NY52B","528"," ","N"," "," "," ","MS",147," ","1"
"rock","NY52C","528b","N","N","bigger!","CNV"," ","MS",148," ","1"
"threw it","NY53A","529","E","N"," "," "," ","MS",149," ","1"
"slung it","NY53B!","530!","E","N"," "," "," ","MS",150," ","1"
"throwed","NY54A","531","V","N"," "," "," ","MS",151," ","1"
"threw","NY54B","532","V","N"," "," "," ","MS",152," ","1"
"throwed a stone","NY55A","533","E","N"," "," "," ","MS",153," ","1"
"threw a stone","NY55B","534","E","N"," "," "," ","MS",154," ","1"
"throwed a stone","NY56A","535","E","N"," "," "," ","MS",155," ","1"
"throwed a stone","NY56B","536","E","N"," "," "," ","MS",156," ","1"
"throwed","NY57A","537a","V","N"," "," "," ","MS",157," ","1"
"threw a stone","NY57B","537b","E","N"," "," "," ","MS",158," ","1"
"threw it","NY57C!","537c!","E","N"," "," "," ","MS",159," ","1"
"throwed","NY58A","539a","V","N"," "," "," ","MS",160," ","1"
"flung it","NY58B","539b","E","Y"," ","DBT"," ","MS",161," ","1"
"picked up a stone","NY58C","539c","E","N"," "," "," ","MS",162," ","1"
"threw a stone","NY58D!","539d!","E","N"," "," "," ","MS",163," ","1"
"threw it","NY58E!","539e!","E","N"," "," "," ","MS",164," ","1"
"threw a stone","NY58F!","539f!","E","N"," "," "," ","MS",165," ","1"
"threw it","NY59A","543","E","N"," "," "," ","MS",166," ","1"
"threw a stone","NY59B","544","E","N"," "," "," ","MS",167," ","1"
"throwed a stone","NY60A","545","E","N","stone=bead size or bigger"," "," ","MS",168," ","1"
"flung a stone","NY60B!","546!","E","N"," "," "," ","MS",169," ","1"
"threwed it","NY61A","547","E","N"," "," "," ","MS",170," ","1"
"throwed","NY61B","548","V","N"," "," "," ","MS",171," ","1"
"threw a stone","NY62A","551a","E","N"," "," "," ","MS",172," ","1"
"throwed","NY62B","551b","V","N"," ","CNV"," ","MS",173," ","1"
"threw a stone","NY62C","551c","E","N"," "," "," ","MS",174," ","1"
"threw a stone","NY62D!","551d!","E","N"," "," "," ","MS",175," ","1"
"threw a stone","NY63A","556a","E","N"," "," "," ","MS",176," ","1"
"threw","NY63B","556b","V","N"," "," "," ","MS",177," ","1"
"threw a stone","NY63C","556c","E","N"," "," "," ","MS",178," ","1"
"threw a stone","NY63D!","556d!","E","N"," "," "," ","MS",179," ","1"
"throwed a rock","NY64A","557a","E","N"," "," "," ","MS",180," ","1"
"threw a stone","NY64B","557b","E","N"," "," "," ","MS",181," ","1"
"threw it at him","NY64C!","557c!","E","N"," "," "," ","MS",182," ","1"
"throwed a stone","NJ1A","1","E","N"," "," "," ","MS",183," ","1"
"threw a stone","NJ1B","2","E","N"," "," "," ","MS",184," ","1"
"throwed a stone","NJ2A","3(*)","E","N"," "," "," ","MS",185," ","1"
"throwed a rock","NJ2B","4","E","N"," "," "," ","MS",186," ","1"
"throwed a stone","NJ3A","5","E","N"," "," "," ","MS",187," ","1"
"threw a stone","NJ3B","6","E","N"," "," "," ","MS",188," ","1"
"threw a stone","NJ4A","7","E","N"," "," "," ","MS",189," ","1"
"flung a stone","NJ4B","8","E","N"," "," "," ","MS",190," ","1"
"throwed a stone","NJ5A","9","E","N"," "," "," ","MS",191," ","1"
"throwed a stone","NJ5B","10","E","N"," "," "," ","MS",192," ","1"
"threw a stone","NJ6A","11","E","N"," "," "," ","MS",193," ","1"
"threw stone","NJ6B","12","E","N"," "," "," ","MS",194," ","1"
"throwed a stone","NJ7A","17","E","N"," "," "," ","MS",195," ","1"
"threw a stone","NJ7B!","18!","E","N"," "," "," ","MS",196," ","1"
"throwed stone","NJ8A","19","E","N"," "," "," ","MS",197," ","1"
"heaved a rock","NJ8B","20","E","N"," "," "," ","MS",198," ","1"
"threw stone","NJ9A","21","E","N"," "," "," ","MS",199," ","1"
"threw a stone","NJ9B","22","E","N"," "," "," ","MS",200," ","1"
"thrown a stone","NJ10A","24b","E","N"," "," "," ","MS",201," ","1"
"threw a stone","NJ10B","23","E","N"," "," "," ","MS",202," ","1"
"threw a stone","NJ10C","24","E","N"," "," "," ","MS",203," ","1"
"threw a rock","NJ10D!","24c!","E","N"," "," "," ","MS",204," ","1"
"threw a stone","NJ11A","25","E","N"," "," "," ","MS",205," ","1"
"threw a stone","NJ11B","26a","E","N"," "," "," ","MS",206," ","1"
"throwed a rock","NJ11C","26b","E","N"," "," "," ","MS",207," ","1"
"threw a stone","NJ12A","27","E","N"," "," "," ","MS",208," ","1"
"throwed a stone","NJ12B","28","E","N"," "," "," ","MS",209," ","1"
"threw a stone","NJ13A","29","E","N"," "," "," ","MS",210," ","1"
"threw a stone","NJ13B","30","E","N"," "," "," ","MS",211," ","1"
"threw a stone","NJ14A","31","E","N"," "," "," ","MS",212," ","1"
"threw a stone","NJ14B","32","E","N"," "," "," ","MS",213," ","1"
"threw a rock","NJ15A","33","E","N"," "," "," ","MS",214," ","1"
"fired a stone","NJ15B","34","E","N"," "," "," ","MS",215," ","1"
"throwed a rock","NJ16A","35","E","N"," "," "," ","MS",216," ","1"
"threw a rock","NJ16B","36","E","N"," "," "," ","MS",217," ","1"
"throwed a stone","NJ17A","37","E","N"," "," "," ","MS",218," ","1"
"threw a stone","NJ17B","38","E","N"," "," "," ","MS",219," ","1"
"threw a stone","NJ18A","41","E","N"," "," "," ","MS",220," ","1"
"threw a stone","NJ18B","42","E","N"," "," "," ","MS",221," ","1"
"threw a stone","NJ18C!","43!","E","N"," "," "," ","MS",222," ","1"
"threw a stone","NJ18D!","44!","E","N"," "," "," ","MS",223," ","1"
"threw a stone","NJ19A","45","E","N"," "," "," ","MS",224," ","1"
