"stallion","NY35B","488","N","N"," "," "," ","MS",100," ","1"
"stallion","NY35C!","489!","N","N"," "," "," ","MS",101," ","1"
"stallion","NY36A","491","N","N"," "," "," ","MS",102," ","1"
"stallion","NY36B","492","N","N"," "," "," ","MS",103," ","1"
"stud","NY37A","493","N","N"," "," "," ","MS",104," ","1"
"stallion","NY37B","494","N","N"," "," "," ","MS",105," ","1"
"stallion","NY37C!","495!","N","N"," "," "," ","MS",106," ","1"
"stallion","NY38A","497(*)","N","N"," "," "," ","MS",107," ","1"
"stallion","NY38B","498","N","N"," "," "," ","MS",108," ","1"
"stallion","NY38C","497X","N","N"," "," "," "," ",109," ","1"
"stallion","NY39A","499","N","N"," "," "," ","MS",110," ","1"
"stallion","NY39B","500","N","N"," "," "," ","MS",111," ","1"
"stallion","NY40A","501","N","N"," "," "," ","MS",112," ","1"
"stallion","NY40B","502","N","N"," "," "," ","MS",113," ","1"
"stallion","NY41","504","N","N"," "," "," ","MS",114," ","1"
"stallion","NY42A","505","N","N"," "," "," ","MS",115," ","1"
"stallion","NY42B","506","N","N"," "," "," ","MS",116," ","1"
"stallion","NY43A","507","N","N"," "," "," ","MS",117," ","1"
"stallion","NY43B","507b","N","N"," "," "," ","MS",118," ","1"
"stallion","NY43C!","508!","N","N"," "," "," ","MS",119," ","1"
"stallion","NY44A","511","N","N"," "," "," ","MS",120," ","1"
"stallion","NY44B","512","N","N"," "," "," ","MS",121," ","1"
"stallion","NY45A","513a","N","N"," "," "," ","MS",122," ","1"
"stallion","NY45B","513b","N","N"," "," "," ","MS",123," ","1"
"sire","NY45C","513c","N","N"," "," "," ","MS",124," ","1"
"stallion","NY45D!","513d!","N","N"," "," "," ","MS",125," ","1"
"stud","NY46A","515a","N","N"," "," "," ","MS",126," ","1"
"stallion","NY46B","515b","N","N"," "," "," ","MS",127," ","1"
"stallion","NY46C","515c","N","N"," "," "," ","MS",128," ","1"
"studhorse","NY47A","517(*)","N","N"," "," "," ","MS",129," ","1"
"stallion","NY47B","518","N","N"," "," "," ","MS",130," ","1"
"stallion","NY48A","519a","N","N"," "," "," ","MS",131," ","1"
"NR","NY48B","519b"," ","N"," "," "," ","MS",132," ","1"
"studhorse","NY48C","519c","N","N"," "," "," ","MS",133," ","1"
"stallion","NY48D","519d","N","N"," ","SIC"," ","MS",134," ","1"
"stallion","NY49A","520","N","N"," "," "," ","MS",135," ","1"
"stud","NY49B","521","N","N"," "," "," ","MS",136," ","1"
"stud","NY49C","522a","N","N"," "," "," ","MS",137," ","1"
"male horse","NY49D","522b","O","N"," "," "," ","MS",138," ","1"
"stud","NY50A","523","N","N"," "," "," ","MS",139," ","1"
"stud","NY50B","524","N","N"," "," "," ","MS",140," ","1"
"stallion","NY51A","525a","N","N"," "," "," ","MS",141," ","1"
"stallion","NY51B","525b","N","N"," "," "," ","MS",142," ","1"
"stallion","NY51C","525c","N","N"," "," "," ","MS",143," ","1"
"horses","NY51D","525d","N","N"," ","CNV"," ","MS",144," ","2"
"stallion","NY51E!","525e!","N","N"," "," "," ","MS",145," ","1"
"stallion","NY52A","527","N","N"," "," "," ","MS",146," ","1"
"studhorse","NY52B","528","N","N"," "," "," ","MS",147," ","1"
"stud","NY52C","528b","N","N"," "," "," ","MS",148," ","1"
"stallion","NY53A","529","N","N"," "," "," ","MS",149," ","1"
"stallion","NY53B!","530!","N","N"," "," "," ","MS",150," ","1"
"stallion","NY54A","531","N","N"," "," "," ","MS",151," ","1"
"stallion","NY54B","532","N","N"," "," "," ","MS",152," ","1"
"stallion","NY55A","533","N","N"," "," "," ","MS",153," ","1"
"stallions","NY55B","534","N","N"," "," "," ","MS",154," ","1"
"stallion","NY56A","535","N","N"," "," "," ","MS",155," ","1"
"stallion","NY56B","536","N","N"," "," "," ","MS",156," ","1"
"stallion","NY57A","537a","N","N"," "," "," ","MS",157," ","1"
"stallion","NY57B","537b","N","N"," "," "," ","MS",158," ","1"
"stallion","NY57C!","537c!","N","N"," "," "," ","MS",159," ","1"
"stallion","NY58A","539a","N","N"," "," "," ","MS",160," ","1"
"stallion","NY58B","539b","N","N"," "," "," ","MS",161," ","1"
"studhorse","NY58C","539c","N","N"," "," "," ","MS",162," ","1"
"stallion","NY58D!","539d!","N","N"," "," "," ","MS",163," ","1"
"stallion","NY58E!","539e!","N","N"," "," "," ","MS",164," ","1"
"horses","NY58F!","539f!","N","N"," ","CNV"," ","MS",165," ","2"
"stallion","NY59A","543","N","N"," "," "," ","MS",166," ","1"
"stallion","NY59B","544","N","N"," "," "," ","MS",167," ","1"
"stallion","NY60A","545","N","N"," "," "," ","MS",168," ","1"
"stallions","NY60B!","546!","N","N"," "," "," ","MS",169," ","1"
"stallion","NY61A","547","N","N"," "," "," ","MS",170," ","1"
"stallion","NY61B","548","N","N","either stallion or stud"," "," ","MS",171," ","1"
"stallion","NY62A","551a","N","N"," "," "," ","MS",172," ","1"
"stallions","NY62B","551b","N","N"," "," "," ","MS",173," ","1"
"stallion","NY62C","551c","N","N"," "," "," ","MS",174," ","1"
"stallion","NY62D!","551d!","N","N"," "," "," ","MS",175," ","1"
"stallion","NY63A","556a","N","N"," "," "," ","MS",176," ","1"
"stallion","NY63B","556b","N","N"," "," "," ","MS",177," ","1"
"stallion","NY63C","556c","N","N"," "," "," ","MS",178," ","1"
"stud","NY63D!","556d!","N","N"," "," "," ","MS",179," ","1"
"stallion","NY64A","557a","N","N"," "," "," ","MS",180," ","1"
"stallion","NY64B","557b","N","N"," "," "," ","MS",181," ","1"
"stallion","NY64C!","557c!","N","N"," "," "," ","MS",182," ","1"
"stallion","NJ1A","1","N","N"," "," "," ","MS",183," ","1"
"stallion","NJ1B","2","N","N"," "," "," ","MS",184," ","1"
"stallion","NJ2A","3(*)","N","N"," "," "," ","MS",185," ","1"
"stallion","NJ2B","4","N","N"," "," "," ","MS",186," ","1"
"stallion","NJ3A","5","N","N"," "," "," ","MS",187," ","1"
"stallion","NJ3B","6","N","N"," "," "," ","MS",188," ","1"
"stallion","NJ4A","7","N","N"," "," "," ","MS",189," ","1"
"studhorse","NJ4B","8","N","N"," "," "," ","MS",190," ","1"
"stallion","NJ5A","9","N","N"," "," "," ","MS",191," ","1"
"studhorse","NJ5B","10","N","N"," "," "," ","MS",192," ","1"
"stallion","NJ6A","11","N","N"," "," "," ","MS",193," ","1"
"stallion","NJ6B","12","N","N"," "," "," ","MS",194," ","1"
"studhorse","NJ7A","17","N","N"," "," "," ","MS",195," ","1"
"stallion","NJ7B!","18!","N","N"," "," "," ","MS",196," ","1"
