"demijohns","NY25A","465"," ","N","Y",-0-,"MS","demijohn: sy",69.
"jar","NY25A","465"," ","N"," ",-0-,"MS",-0-,69.
"can","NY25A","465"," ","N"," ",-0-,"MS",-0-,69.
"glass jar","NY25A","465"," ","N"," ",-0-,"MS",-0-,69.
"cans","NY25B","466"," ","N","Y",-0-,"MS","cans: syrup;",70.
"can","NY25B","466"," ","N"," ",-0-,"MS",-0-,70.
"pan","NY25B","466"," ","N"," ",-0-,"MS",-0-,70.
"cans","NY25B","466"," ","N"," ",-0-,"MS",-0-,70.
"crocks","NY25B","466"," ","N"," ",-0-,"MS",-0-,70.
"tubs","NY26A","467"," ","N"," ",-0-,"MS",-0-,71.
"kegs","NY26A","467"," ","N","Y",-0-,"MS","kegs: syrup;",71.
"jug","NY26B","468"," ","N","Y",-0-,"MS","j:vinegar,ma",72.
"crock","NY26B","468"," ","N","Y",-0-,"MS"," ",72.
"firkins","NY26B","468"," ","N","Y",-0-,"MS","jug:vinegar,",72.
"drums","NY26C","469"," ","N","Y",-0-,"MS"," ",73.
"tub","NY26C","469"," ","N","Y",-0-,"MS"," ",73.
"kegs","NY26C","469"," ","N","Y",-0-,"MS","kegs, drums:",73.
"tubs","NY26C","469"," ","N","Y",-0-,"MS","kegs,drums:",73.
"jug","NY27A","470"," ","N"," ",-0-,"MS",-0-,74.
"jar","NY27A","470"," ","N","Y",-0-,"MS","jar: lard",74.
"can","NY27B","471"," ","N","Y",-0-,"MS"," ",75.
"pans","NY27B","471"," ","N","Y",-0-,"MS","can: syrup;",75.
"can of syrup","NY27C","472"," ","N"," ",-0-,"MS",-0-,76.
"cans","NY28A","473a"," ","N","Y",-0-,"MS","fruit jars:",77.
"fruit jars","NY28A","473a"," ","N","Y",-0-,"MS"," ",77.
"can","NY28B","473b(*)"," ","N","Y",-0-,"MS"," ",78.
"kegs","NY28B","473b(*)"," ","N","Y",-0-,"MS","can: syrup;",78.
-0-,"NY28C",-0-,-0-,-0-,-0-,-0-,-0-,-0-,79.
"tin cans","NY29A","474a"," ","N","Y",-0-,"MS"," ",80.
"barrel","NY29A","474a"," ","N","Y",-0-,"MS"," ",80.
"crock","NY29A","474a"," ","N","Y",-0-,"MS","barrel, tin",80.
"cans","NY29B","474b"," ","N","Y",-0-,"MS","cans: syrup;",81.
"barrel","NY29B","474b"," ","N","Y",-0-,"MS"," ",81.
"earthen jars","NY29B","474b"," ","N","Y",-0-,"MS","cans: syrup?",81.
"jug","NY29C","474c"," ","N","Y",-0-,"MS"," ",82.
"stone jar","NY29C","474c"," ","N","Y",-0-,"MS","cans: syrup?",82.
"cans","NY29C","474c"," ","N","Y",-0-,"MS"," ",82.
"tubs","NY30A","475a"," ","N","Y",-0-,"MS"," ",83.
"tin can","NY30A","475a"," ","N","Y",-0-,"MS"," ",83.
"jugs","NY30A","475a"," ","N","Y",-0-,"MS","tin can, tub",83.
"butter tubs","NY30B","475b"," ","N"," ",-0-,"MS",-0-,84.
"pail","NY30B","475b"," ","N","Y",-0-,"MS"," ",84.
"tubs","NY30B","475b"," ","N","Y",-0-,"MS"," ",84.
"can","NY30B","475b"," ","N","Y",-0-,"MS"," ",84.
"syrup cans","NY30B","475b"," ","N","Y",-0-,"MS","can, pail, t",84.
"butter tubs","NY30C","475c"," ","N","Y",-0-,"MS","butter tubs:",85.
"barrels","NY30C","475c"," ","N","Y",-0-,"MS","butter tubs:",85.
"sugar barrel","NY30C","475c"," ","N"," ",-0-,"MS",-0-,85.
"bottles","NY30D","475d"," ","N"," ",-0-,"MS",-0-,86.
"jugs","NY30D","475d"," ","N","Y",-0-,"MS","jars: lard;",86.
"jars","NY30D","475d"," ","N","Y",-0-,"MS","jars: lard",86.
"tin can","NY30E","475e"," ","N","Y",-0-,"MS"," ",87.
